Undefined,#genre#
CCTV+_1_(600p)_[Not_24/7],https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8
CCTV+_2_(600p)_[Not_24/7],https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL2.smil/playlist.m3u8
CCTV-1_(2160p),http://123.175.209.52:9003/hls/1/index.m3u8
CCTV-2_(2160p),http://123.175.209.52:9003/hls/2/index.m3u8
CCTV-3_(2160p),http://123.175.209.52:9003/hls/3/index.m3u8
CCTV-4_(2160p),http://123.175.209.52:9003/hls/4/index.m3u8
CCTV-4_America_(1080p),https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8
CCTV-5_(2160p),http://123.175.209.52:9003/hls/5/index.m3u8
CCTV-5+_(2160p),http://123.175.209.52:9003/hls/6/index.m3u8
CCTV-6_(2160p),http://123.175.209.52:9003/hls/7/index.m3u8
CCTV-7_(2160p),http://123.175.209.52:9003/hls/8/index.m3u8
CCTV-8_(2160p),http://123.175.209.52:9003/hls/9/index.m3u8
CCTV-9_(2160p),http://123.175.209.52:9003/hls/10/index.m3u8
CCTV-10_(2160p),http://123.175.209.52:9003/hls/11/index.m3u8
CCTV-11_(576p),http://123.175.209.52:9003/hls/12/index.m3u8
CCTV-12_(2160p),http://123.175.209.52:9003/hls/13/index.m3u8
CCTV-13新闻_(2160p),http://123.175.209.52:9003/hls/14/index.m3u8
CCTV-15_(576p),http://123.175.209.52:9003/hls/16/index.m3u8
CCTV-16_(2160p),http://123.175.209.52:9003/hls/17/index.m3u8
CCTV-17_(2160p),http://123.175.209.52:9003/hls/18/index.m3u8
